"Reference", "MACB"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.NOTEMPTY.dstdir/", "M.C0"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.EMPTY.src/", ".A.0"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.EMPTY.srcdir/", "...0"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.EMPTY.dst/", "MAC0"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.EMPTY.dstdir/", "M.C0"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.EMPTY.src/", ".A.0"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.EMPTY.srcdir/", "...0"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.EMPTY.dst/", "MAC0"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.EMPTY.dstdir/", "M.C0"
"PROFILE.OS.FILE.NEW.dir/", "M.C0"
"PROFILE.OS.FILE.NEW.newfile", "MAC0"
"PROFILE.OS.HARDLINK.FILE.NEW.file", "..C0"
"PROFILE.OS.HARDLINK.FILE.NEW.hardlink", ">>C0"
"PROFILE.OS.HARDLINK.FILE.NEW.filedir/", "...0"
"PROFILE.OS.HARDLINK.FILE.NEW.linkdir/", "M.C0"
"PROFILE.OS.SYMLINK.FILE.NEW.file", "...0"
"PROFILE.OS.SYMLINK.FILE.NEW.symlink", "MAC0"
"PROFILE.OS.SYMLINK.FILE.NEW.filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.NEW.linkdir/", "M.C0"
"PROFILE.OS.FILE.NEW.INTOSYMLINKDIR.dir/", "M.C0"
"PROFILE.OS.FILE.NEW.INTOSYMLINKDIR.symlinkdir", "...0"
"PROFILE.OS.FILE.NEW.INTOSYMLINKDIR.file", "MAC0"
"PROFILE.OS.DIR.NEW.parentdir/", "M.C0"
"PROFILE.OS.DIR.NEW.newdir/", "MAC0"
"PROFILE.OS.SYMLINK.DIR.NEW.dir/", "...0"
"PROFILE.OS.SYMLINK.DIR.NEW.symlink", "MAC0"
"PROFILE.OS.SYMLINK.DIR.NEW.dirdir/", "...0"
"PROFILE.OS.SYMLINK.DIR.NEW.linkdir/", "M.C0"
"PROFILE.OS.FILE.READ.dir/", "...0"
"PROFILE.OS.FILE.READ.file", ".A.0"
"PROFILE.OS.SYMLINK.FILE.READ.file", ".A.0"
"PROFILE.OS.SYMLINK.FILE.READ.symlink", "...0"
"PROFILE.OS.SYMLINK.FILE.READ.filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.READ.linkdir/", "...0"
"PROFILE.OS.SYMLINK.READLINK.target", "...0"
"PROFILE.OS.SYMLINK.READLINK.symlink", "...0"
"PROFILE.OS.SYMLINK.READLINK.targetdir/", "...0"
"PROFILE.OS.SYMLINK.READLINK.linkdir/", "...0"
"PROFILE.OS.FILE.WRITE.dir/", "...0"
"PROFILE.OS.FILE.WRITE.file", "M.C0"
"PROFILE.OS.SYMLINK.FILE.WRITE.file", "M.C0"
"PROFILE.OS.SYMLINK.FILE.WRITE.symlink", "...0"
"PROFILE.OS.SYMLINK.FILE.WRITE.filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.WRITE.linkdir/", "...0"
"PROFILE.OS.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chmod/", "...0"
"PROFILE.OS.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chmod/file", "..C0"
"PROFILE.OS.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chown/", "...0"
"PROFILE.OS.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chown/file", "...0"
"PROFILE.OS.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chmod/", "...0"
"PROFILE.OS.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chmod/file", "..C0"
"PROFILE.OS.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chown/", "...0"
"PROFILE.OS.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chown/file", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chmod_symlink/filedir/file", "..C0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chmod_symlink/linkdir/symlink", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chmod_symlink/filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chmod_symlink/linkdir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chown_symlink/filedir/file", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chown_symlink/linkdir/symlink", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chown_symlink/filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chown_symlink/linkdir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chmod_symlink/filedir/file", "..C0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chmod_symlink/linkdir/symlink", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chmod_symlink/filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chmod_symlink/linkdir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chown_symlink/filedir/file", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chown_symlink/linkdir/symlink", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chown_symlink/filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chown_symlink/linkdir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_utilities_chown_symlink_nofollow/filedir/file", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_utilities_chown_symlink_nofollow/linkdir/symlink", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_utilities_chown_symlink_nofollow/filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_utilities_chown_symlink_nofollow/linkdir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_interface_chown_symlink_nofollow/filedir/file", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_interface_chown_symlink_nofollow/linkdir/symlink", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_interface_chown_symlink_nofollow/filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_interface_chown_symlink_nofollow/linkdir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_interface_chmod_symlink_nofollow/filedir/file", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_interface_chmod_symlink_nofollow/linkdir/symlink", "..C0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_interface_chmod_symlink_nofollow/filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_interface_chmod_symlink_nofollow/linkdir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_utilities_chmod_symlink_nofollow/filedir/file", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_utilities_chmod_symlink_nofollow/linkdir/symlink", "..C0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_utilities_chmod_symlink_nofollow/filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.tmp_os_profile_00/profileos_filechange_utilities_chmod_symlink_nofollow/linkdir/", "...0"
"PROFILE.OS.DIR.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chmod_dir/", "...0"
"PROFILE.OS.DIR.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chmod_dir/dir/", "..C0"
"PROFILE.OS.DIR.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chown_dir/", "...0"
"PROFILE.OS.DIR.CHANGE.tmp_os_profile_00/profileos_filechange_interface_chown_dir/dir/", "...0"
"PROFILE.OS.DIR.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chmod_dir/", "...0"
"PROFILE.OS.DIR.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chmod_dir/dir/", "..C0"
"PROFILE.OS.DIR.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chown_dir/", "...0"
"PROFILE.OS.DIR.CHANGE.tmp_os_profile_00/profileos_filechange_utilities_chown_dir/dir/", "...0"
"PROFILE.OS.FILE.RM.last.dir/", "M.C0"
"PROFILE.OS.FILE.RM.last.file", "!!!!"
"PROFILE.OS.FILE.RM.notlast.dir/", "M.C0"
"PROFILE.OS.FILE.RM.notlast.file", "..C0"
"PROFILE.OS.SYMLINK.FILE.RM.last.file", "...0"
"PROFILE.OS.SYMLINK.FILE.RM.last.symlink", "!!!!"
"PROFILE.OS.SYMLINK.FILE.RM.last.filedir/", "...0"
"PROFILE.OS.SYMLINK.FILE.RM.last.linkdir/", "M.C0"
"PROFILE.OS.DIR.RM.last.parentdir/", "M.C0"
"PROFILE.OS.DIR.RM.last.dir/", "!!!!"
"PROFILE.OS.SYMLINK.DIR.RM.last.dir/", "...0"
"PROFILE.OS.SYMLINK.DIR.RM.last.symlink", "!!!!"
"PROFILE.OS.SYMLINK.DIR.RM.last.dirdir/", "...0"
"PROFILE.OS.SYMLINK.DIR.RM.last.linkdir/", "M.C0"
"PROFILE.OS.DIR.LISTING.notempty.dir/", ".A.0"
"PROFILE.OS.DIR.LISTING.notempty.file", "...0"
"PROFILE.OS.DIR.LISTING.empty.dir/", ".A.0"
"PROFILE.OS.SYMLINK.DIR.LISTING.notempty.dir/", ".A.0"
"PROFILE.OS.SYMLINK.DIR.LISTING.notempty.symlink", "...0"
"PROFILE.OS.SYMLINK.DIR.LISTING.notempty.file", "...0"
"PROFILE.OS.DIR.TRAVERSAL.dir/", "...0"
"PROFILE.OS.SYMLINK.DIR.TRAVERSAL.dir/", "...0"
"PROFILE.OS.SYMLINK.DIR.TRAVERSAL.symlink", "...0"
"PROFILE.OS.EXEC.bin", ".A.0"
"PROFILE.OS.EXEC.dir/", "...0"
"PROFILE.OS.EXEC.pwd/", "...0"
"PROFILE.OS.SYMLINK.EXEC.bin", ".A.0"
"PROFILE.OS.SYMLINK.EXEC.bin_symlink", "...0"
"PROFILE.OS.SYMLINK.EXEC.bindir/", "...0"
"PROFILE.OS.SYMLINK.EXEC.linkdir/", "...0"
"PROFILE.OS.SYMLINK.EXEC.pwd/", "...0"
"PROFILE.OS.EXEC.INTOSYMLINKDIR.bin", ".A.0"
"PROFILE.OS.EXEC.INTOSYMLINKDIR.dir/", "...0"
"PROFILE.OS.EXEC.INTOSYMLINKDIR.dir_symlink", "...0"
"PROFILE.OS.EXEC.INTOSYMLINKDIR.pwd/", "...0"
